song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Whistle,Flo Rida,0.754,0.933,0.0,-5.786,1.0,0.0448,0.0199,0.0,0.297,0.75,103.992,225000.0,4.0,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,0ltBH1JNzSvQJPjJpvTu9B,9
Girlfriend,Avril Lavigne,0.56,0.959,7.0,-2.433,1.0,0.102,0.000738,0.000206,0.209,0.67,163.983,216600.0,4.0,spotify:track:5HbCnVLXRyZVxnreOPgJCK,5HbCnVLXRyZVxnreOPgJCK,11
Baby,Justin Bieber,0.463,0.854,8.0,-5.386,1.0,0.32,0.0428,0.0,0.0922,0.567,65.038,216520.0,4.0,spotify:track:4NFhtFE68cXUrfbne8JE2c,4NFhtFE68cXUrfbne8JE2c,11
I Cry,Flo Rida,0.693,0.822,4.0,-5.441,0.0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800.0,4.0,spotify:track:5HE3z4Ew7wZ91l3ZOpGKa4,5HE3z4Ew7wZ91l3ZOpGKa4,2
Coconut Tree,Mohombi,0.687,0.855,7.0,-5.341,0.0,0.0416,0.0486,0.0,0.233,0.647,130.029,218373.0,4.0,spotify:track:5L9THbmMKB6ZlHlMgzaXHf,5L9THbmMKB6ZlHlMgzaXHf,1
One Less Lonely Girl,Justin Bieber,0.58,0.75,4.0,-4.421,1.0,0.194,0.159,0.0,0.274,0.728,86.938,229107.0,4.0,spotify:track:7qUcqYzOtfZe65bednDxmz,7qUcqYzOtfZe65bednDxmz,9
Romeo ja Julia (feat. Sophie),Pikku G,0.695,0.628,11.0,-6.498,0.0,0.0442,0.0539,0.0,0.32,0.529,144.114,236200.0,4.0,spotify:track:0seHreoI3kwp38OlEgLLnT,0seHreoI3kwp38OlEgLLnT,1
Don't You Worry Child - Radio Edit,Swedish House Mafia,0.608,0.828,2.0,-3.597,1.0,0.051,0.125,0.0,0.113,0.484,128.919,212841.0,4.0,spotify:track:5DcPOPPUnNhyPYbTi2aWjR,5DcPOPPUnNhyPYbTi2aWjR,0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343.0,4.0,spotify:track:3bidbhpOYeV4knp8AIu8Xn,3bidbhpOYeV4knp8AIu8Xn,9
She Wolf (Falling to Pieces) [feat. Sia],David Guetta,0.491,0.857,7.0,-2.634,1.0,0.0656,0.0834,7.57e-06,0.344,0.395,129.971,222500.0,4.0,spotify:track:1HfPcQ3c2HyGeID3u1lmCa,1HfPcQ3c2HyGeID3u1lmCa,3
Radioactive,Imagine Dragons,0.473,0.777,9.0,-3.698,1.0,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813.0,4.0,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,6Ep6BzIOB9tz3P4sWqiiAB,3
Whistle,Flo Rida,0.747,0.937,0.0,-5.746,1.0,0.0453,0.0208,0.0,0.29,0.739,103.976,224653.0,4.0,spotify:track:3bC1ahPIYt1btJzSSEyyrF,3bC1ahPIYt1btJzSSEyyrF,9
I Need Your Love (feat. Ellie Goulding),Calvin Harris,0.695,0.869,8.0,-5.066,1.0,0.0483,0.41,0.0,0.237,0.58,124.989,234507.0,4.0,spotify:track:05SBRd4fXgn8FX7bf8BCAE,05SBRd4fXgn8FX7bf8BCAE,11
Timber (feat. Ke$ha),Pitbull,0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.788,129.992,204160.0,4.0,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,3cHyrEgdyYRjgJKSOiOtcS,11
Scream & Shout,will.i.am,0.772,0.685,5.0,-6.849,1.0,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400.0,4.0,spotify:track:2iJuuzV8P9Yz0VSurttIV5,2iJuuzV8P9Yz0VSurttIV5,11
Wake Me Up - Radio Edit,Avicii,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427.0,4.0,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,6g1NlCpW7fgqDnWbCCDrHl,9
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.662,94.992,235613.0,4.0,spotify:track:4YMqbFcDIFiCBd02PzUBcM,4YMqbFcDIFiCBd02PzUBcM,2
Play Hard (feat. Ne-Yo & Akon),David Guetta,0.691,0.921,8.0,-1.702,0.0,0.0533,0.173,0.0,0.331,0.8,130.072,201000.0,4.0,spotify:track:5YPMEOJ58kfl56VHxTgwx3,5YPMEOJ58kfl56VHxTgwx3,1
Superheroes,The Script,0.49,0.885,3.0,-4.121,1.0,0.0396,0.00218,0.0,0.0741,0.64,166.996,245467.0,4.0,spotify:track:37sINbJZcFdHFAsVNsPq1i,37sINbJZcFdHFAsVNsPq1i,9
I Cry,Flo Rida,0.693,0.822,4.0,-5.441,0.0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,223800.0,4.0,spotify:track:3zrYNl1aMdFrQkcOjKVr5u,3zrYNl1aMdFrQkcOjKVr5u,2
Counting Stars,OneRepublic,0.663,0.705,1.0,-4.972,0.0,0.0385,0.0654,0.0,0.117,0.477,122.014,257387.0,4.0,spotify:track:1QzFhzIOW7CyRJLpmq5CM0,1QzFhzIOW7CyRJLpmq5CM0,6
Gangnam Style (강남스타일),PSY,0.727,0.938,11.0,-2.872,0.0,0.288,0.00432,0.0,0.0911,0.757,132.077,219493.0,4.0,spotify:track:1R2SZUOGJqqBiLuvwKOT2Y,1R2SZUOGJqqBiLuvwKOT2Y,1
Feel This Moment (feat. Christina Aguilera),Pitbull,0.668,0.758,7.0,-3.589,1.0,0.158,0.0338,0.0,0.204,0.531,135.958,229507.0,4.0,spotify:track:4yOn1TEcfsKHUJCL2h1r8I,4yOn1TEcfsKHUJCL2h1r8I,11
Capsize,FRENSHIP,0.681,0.708,5.0,-6.019,0.0,0.0304,0.042,0.14,0.682,0.356,92.993,237760.0,4.0,spotify:track:3GBlLqIYgB8zWaeWDNJzdh,3GBlLqIYgB8zWaeWDNJzdh,6
Magical,Tungevaag,0.504,0.912,1.0,-2.867,1.0,0.259,0.199,0.0,0.105,0.248,189.983,218539.0,4.0,spotify:track:43lwHSTEexXRVVeXZtAtfi,43lwHSTEexXRVVeXZtAtfi,0
Bleeding Love,Leona Lewis,0.635,0.647,5.0,-5.864,1.0,0.0366,0.192,0.0,0.154,0.201,104.058,262693.0,4.0,spotify:track:6LtPIXlIzPOTF8vTecYjRe,6LtPIXlIzPOTF8vTecYjRe,3
Drop That Low (When I Dip),Tujamo,0.579,0.896,5.0,-4.132,0.0,0.373,0.00945,0.836,0.121,0.103,125.672,160000.0,4.0,spotify:track:48kF7W23OIcVBsNY5UesuQ,48kF7W23OIcVBsNY5UesuQ,5
Perfect Strangers,Jonas Blue,0.742,0.819,1.0,-5.307,1.0,0.0487,0.372,0.0,0.277,0.709,117.986,196613.0,4.0,spotify:track:1CUVN2kn7mW5FjkqXTR2W1,1CUVN2kn7mW5FjkqXTR2W1,9
Thinking About You,Axwell /\ Ingrosso,0.69,0.811,8.0,-5.475,1.0,0.058,0.044,0.0,0.205,0.521,122.001,204590.0,4.0,spotify:track:3eBwnjEe60kDJAMlFg1ewf,3eBwnjEe60kDJAMlFg1ewf,11
Please Don't Go,Joel Adams,0.513,0.768,4.0,-4.868,0.0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,210580.0,4.0,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,3cNjgVBKTJ1SvKhunrCdVy,6
Lions in the Wild,Martin Garrix,0.504,0.847,7.0,-6.81,0.0,0.0442,0.00434,0.0,0.816,0.28,127.854,211890.0,4.0,spotify:track:6F1kPSgdnlSzZRfskE9vaV,6F1kPSgdnlSzZRfskE9vaV,6
Never Be Like You,Flume,0.494,0.559,0.0,-5.445,1.0,0.0565,0.436,0.0,0.164,0.264,119.247,233337.0,4.0,spotify:track:12REd1n8PeiHHWOh066tpr,12REd1n8PeiHHWOh066tpr,0
Treat You Better,Shawn Mendes,0.45,0.825,10.0,-4.066,0.0,0.372,0.121,0.0,0.109,0.742,82.823,187973.0,4.0,spotify:track:53B2XmmjJ9rriW1qciMBeX,53B2XmmjJ9rriW1qciMBeX,1
Heathens,Twenty One Pilots,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,4.0,spotify:track:6i0V12jOa3mr6uu4WYhUBr,6i0V12jOa3mr6uu4WYhUBr,2
Send My Love (To Your New Lover),Adele,0.688,0.532,6.0,-8.361,0.0,0.0875,0.0356,3.08e-06,0.172,0.565,164.068,223079.0,4.0,spotify:track:3KZcrZ36LW9RnChK1iIkth,3KZcrZ36LW9RnChK1iIkth,1
When We Were Young,Adele,0.377,0.595,3.0,-5.936,1.0,0.0489,0.303,0.0,0.095,0.264,144.464,290900.0,4.0,spotify:track:0cj2joJcY6b4XSRfj2eZOl,0cj2joJcY6b4XSRfj2eZOl,0
Someone Like You,Adele,0.554,0.321,9.0,-8.251,1.0,0.028,0.893,0.0,0.0996,0.288,135.047,285240.0,4.0,spotify:track:6QPKYGnAW9QozVz2dSWqRg,6QPKYGnAW9QozVz2dSWqRg,4
Set Fire to the Rain,Adele,0.603,0.67,2.0,-3.882,0.0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974.0,4.0,spotify:track:5PKWUDfQFtc5qqo8cs1gQp,5PKWUDfQFtc5qqo8cs1gQp,6
Apologize,OneRepublic,0.593,0.74,8.0,-6.12,1.0,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107.0,4.0,spotify:track:1NrJYpdAi7uosDRPmSYrsG,1NrJYpdAi7uosDRPmSYrsG,3
Onnelliseksi,Juju,0.645,0.434,0.0,-7.791,1.0,0.0399,0.00187,0.00226,0.124,0.249,100.01,213013.0,4.0,spotify:track:6hvNLxrHBdR1qzdrKasCPE,6hvNLxrHBdR1qzdrKasCPE,0
I See Fire,Ed Sheeran,0.641,0.176,6.0,-11.692,1.0,0.0349,0.638,5.14e-06,0.252,0.297,76.031,299147.0,4.0,spotify:track:5pY3ovFxbvAg7reGZjJQSp,5pY3ovFxbvAg7reGZjJQSp,4
Chasing Cars,Snow Patrol,0.563,0.592,9.0,-4.571,1.0,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933.0,4.0,spotify:track:11bD1JtSjlIgKgZG2134DZ,11bD1JtSjlIgKgZG2134DZ,3
Say Something,A Great Big World,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400.0,3.0,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,6Vc5wAMmXdKIAM7WUoEb7N,4
Go Hard or Go Home,Wiz Khalifa,0.651,0.741,4.0,-5.067,0.0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,232773.0,4.0,spotify:track:2QJnTfMpNG05KFf2E3gVIJ,2QJnTfMpNG05KFf2E3gVIJ,6
Läikkyy,Arttu Lindeman,0.669,0.846,4.0,-3.976,0.0,0.156,0.15,0.0,0.154,0.793,150.014,206200.0,4.0,spotify:track:1gou2U6ZcLKXLBC3MYVtEu,1gou2U6ZcLKXLBC3MYVtEu,2
1972,Anssi Kela,0.542,0.644,3.0,-6.196,1.0,0.0961,0.0219,0.0,0.138,0.545,153.972,249560.0,4.0,spotify:track:4htrHrq1AB38vprDEha0hv,4htrHrq1AB38vprDEha0hv,0
Toxic,Britney Spears,0.774,0.839,5.0,-3.948,0.0,0.114,0.027,0.0166,0.252,0.923,142.985,198813.0,4.0,spotify:track:26nr9XnFCYWxBTIP7HyWXg,26nr9XnFCYWxBTIP7HyWXg,2
Älä herätä mua unesta,Mikael Gabriel,0.656,0.675,1.0,-7.455,1.0,0.0457,0.119,0.0,0.0925,0.353,126.889,204573.0,4.0,spotify:track:02RaNOB5CIiXAhgvLE6Xp0,02RaNOB5CIiXAhgvLE6Xp0,0
Spaceman,Aste,0.737,0.95,6.0,-2.522,0.0,0.0611,0.017,0.0,0.233,0.968,127.0,197453.0,4.0,spotify:track:3PfG2rMOU9HglycfbIC4yM,3PfG2rMOU9HglycfbIC4yM,2
Only One,Aste,0.578,0.839,2.0,-3.806,1.0,0.0755,0.000649,0.0,0.0708,0.509,121.995,240280.0,4.0,spotify:track:1ttYNQjND5nBtUnpNMlLQQ,1ttYNQjND5nBtUnpNMlLQQ,0
Come & Get It,Selena Gomez,0.349,0.795,7.0,-4.133,0.0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,231987.0,1.0,spotify:track:5U2m76qAMdr3gXI0g6ptlG,5U2m76qAMdr3gXI0g6ptlG,1
Wherever I Go,OneRepublic,0.543,0.691,10.0,-6.403,0.0,0.0425,0.107,0.0,0.218,0.335,100.014,170213.0,4.0,spotify:track:7kUtJKGZzLNgIkq1Galkt0,7kUtJKGZzLNgIkq1Galkt0,1
Heatwave (feat. Akon),Robin Schulz,0.702,0.82,7.0,-4.323,0.0,0.063,0.196,0.0,0.156,0.52,107.936,187126.0,4.0,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,2KMJ5CoxY4ECG9TZyNWmpv,1
Hubba Bubba,Teflon Brothers,0.68,0.847,11.0,-6.439,1.0,0.0353,0.000755,0.0,0.159,0.792,136.039,207394.0,4.0,spotify:track:2hQVEDz4hG8RGmzSPKTDrT,2hQVEDz4hG8RGmzSPKTDrT,11
I'm In Control,AlunaGeorge,0.734,0.847,11.0,-3.713,0.0,0.0346,0.355,0.000144,0.154,0.673,104.013,209425.0,4.0,spotify:track:16NOHRm0OEjmg55OZAxVmV,16NOHRm0OEjmg55OZAxVmV,1
Arcade - Radio Edit,Dimitri Vegas & Like Mike,0.565,0.957,3.0,-4.167,0.0,0.0723,0.00923,0.69,0.293,0.175,127.953,225000.0,4.0,spotify:track:7FKjWBgGgCGYoRRDIhp4bR,7FKjWBgGgCGYoRRDIhp4bR,5
She Doesn't Mind,Sean Paul,0.718,0.776,7.0,-5.208,0.0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,227787.0,4.0,spotify:track:4odiyU3myG29Ld0wurMfE8,4odiyU3myG29Ld0wurMfE8,1
Satellites - Radio Edit,Bobby Burns,0.535,0.829,4.0,-4.371,1.0,0.0613,0.0713,2.7e-05,0.146,0.573,127.952,232519.0,4.0,spotify:track:3peFUAm5l0kWIJXy7Q8GYP,3peFUAm5l0kWIJXy7Q8GYP,9
Calling (Lose My Mind) - Radio Edit,Sebastian Ingrosso,0.416,0.849,1.0,-4.909,0.0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440.0,4.0,spotify:track:34NNeV9jfgNgaALgUr0u9V,34NNeV9jfgNgaALgUr0u9V,6
I Just Had Sex,The Lonely Island,0.621,0.802,6.0,-4.735,1.0,0.118,0.0235,0.0,0.108,0.819,167.976,168200.0,4.0,spotify:track:1OmxpKVSvn0LGcM3SQS4OV,1OmxpKVSvn0LGcM3SQS4OV,11
Angels Unite (Radio Edit),Scarlet,0.529,0.876,5.0,-5.649,1.0,0.0337,0.00102,1.92e-05,0.353,0.282,144.998,216566.0,4.0,spotify:track:3UFoVEy7B2yqUMB21yyJm2,3UFoVEy7B2yqUMB21yyJm2,3
Gypsy Drop - Radio Edit,Filip Jenven,0.797,0.962,1.0,-4.239,1.0,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502.0,4.0,spotify:track:11xsm79HwpWV1C1lMXoVo9,11xsm79HwpWV1C1lMXoVo9,8
Bigroom Blitz - Radio Mix,Scooter,0.713,0.909,3.0,-4.274,1.0,0.0306,0.00303,0.000706,0.699,0.438,132.022,187273.0,4.0,spotify:track:1Xcww2gldd5hN6WvGBsbFT,1Xcww2gldd5hN6WvGBsbFT,0
Satisfied (feat. VASSY) - Original Mix,Showtek,0.611,0.941,0.0,-1.958,1.0,0.0491,0.00326,0.0205,0.345,0.589,128.002,258743.0,4.0,spotify:track:6LU68pNqUguPOsjPIaJwo6,6LU68pNqUguPOsjPIaJwo6,9
Gold Skies - Original Mix,Sander van Doorn,0.564,0.823,9.0,-6.316,0.0,0.046,0.00406,0.0716,0.684,0.221,128.018,329067.0,4.0,spotify:track:4zXQSm5XIkcn5qtmtbwO9O,4zXQSm5XIkcn5qtmtbwO9O,1
Love Louder - Style Of Eye Remix,John Martin,0.56,0.854,1.0,-4.878,1.0,0.0669,0.00901,1.07e-06,0.506,0.274,126.001,373650.0,4.0,spotify:track:2WEiz65hkQPlThgncVH34T,2WEiz65hkQPlThgncVH34T,0
Forbidden Voices,Martin Garrix,0.534,0.711,10.0,-5.927,0.0,0.0368,0.05,0.0031,0.135,0.3,128.102,230635.0,4.0,spotify:track:2BF1X5nkYYSb0AUTRaGkDm,2BF1X5nkYYSb0AUTRaGkDm,1
Salsa Tequila,Anders Nilsen,0.661,0.906,6.0,-3.352,1.0,0.125,0.131,4.1e-05,0.0743,0.638,127.966,199805.0,4.0,spotify:track:4WRjqQ6sx5qIcddaIxNTfF,4WRjqQ6sx5qIcddaIxNTfF,11
All I Ever Wanted - Radio Edit,Basshunter,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,176453.0,4.0,spotify:track:3uoqlATyV5IWOhy0LBF7k1,3uoqlATyV5IWOhy0LBF7k1,9
Memories (feat. Kid Cudi),David Guetta,0.561,0.87,8.0,-6.103,1.0,0.343,0.0015,2.82e-06,0.246,0.498,129.98,210093.0,4.0,spotify:track:4iMu9le3ytNO3tvgVpQANx,4iMu9le3ytNO3tvgVpQANx,3
Trumpsta (Djuro Remix) [feat. Treyy G],Contiez,0.973,0.587,1.0,-7.014,1.0,0.242,0.00207,0.38,0.257,0.195,128.0,258507.0,4.0,spotify:track:3YcXXjmC9cM5Y2x3jUps0p,3YcXXjmC9cM5Y2x3jUps0p,0
Moonlight Shadow,ItaloBrothers,0.577,0.952,0.0,-5.172,1.0,0.0404,0.0529,0.00603,0.31,0.808,150.02,186880.0,4.0,spotify:track:6T9vhWadqtG3J3jfYf8kcI,6T9vhWadqtG3J3jfYf8kcI,9
Colours Of The Rainbow,ItaloBrothers,0.616,0.946,0.0,-6.392,0.0,0.059,0.00341,0.000188,0.168,0.744,140.045,210240.0,4.0,spotify:track:4fWcyB6ik13xv6QFmORi0H,4fWcyB6ik13xv6QFmORi0H,2
Honey,Evelina,0.68,0.633,3.0,-5.236,0.0,0.0344,0.0773,1.57e-06,0.183,0.501,149.922,221633.0,4.0,spotify:track:6d0eTPJ3JZTwOAwLdl0hOJ,6d0eTPJ3JZTwOAwLdl0hOJ,6
Pämppää,Teflon Brothers,0.8,0.887,9.0,-5.038,1.0,0.0632,0.113,0.0,0.154,0.526,109.988,191991.0,4.0,spotify:track:6xQjgKUjjKgLDfOibSRyRM,6xQjgKUjjKgLDfOibSRyRM,11
Viva La Vida,Coldplay,0.486,0.617,5.0,-7.115,0.0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373.0,4.0,spotify:track:1mea3bSkSGXuIRvnydlB5b,1mea3bSkSGXuIRvnydlB5b,6
If I Lose Myself,OneRepublic,0.485,0.699,2.0,-6.017,1.0,0.0479,0.096,0.0,0.109,0.242,140.096,241560.0,4.0,spotify:track:0ett0qCHbl0vdSRFhRSkMc,0ett0qCHbl0vdSRFhRSkMc,0
In2,WSTRN,0.553,0.662,8.0,-6.454,0.0,0.129,0.342,0.0,0.141,0.561,98.368,242121.0,4.0,spotify:track:3WEmAizxrtQwXEJQRwCrK1,3WEmAizxrtQwXEJQRwCrK1,1
Somebody to Die For,Hurts,0.426,0.599,11.0,-7.737,1.0,0.0282,0.0198,0.00142,0.366,0.102,91.995,275547.0,4.0,spotify:track:0GDz2tPdh6FbxJxM75SQB4,0GDz2tPdh6FbxJxM75SQB4,3
Jai Ho! (You Are My Destiny),A.R. Rahman,0.66,0.936,11.0,-3.931,1.0,0.0624,0.0531,2.46e-06,0.082,0.908,136.19,222413.0,4.0,spotify:track:1domCrjxwdTsPWqVn2Ivc0,1domCrjxwdTsPWqVn2Ivc0,11
Don't Hold Your Breath,Nicole Scherzinger,0.66,0.797,5.0,-6.096,0.0,0.0262,0.00646,0.000108,0.187,0.674,110.955,197440.0,4.0,spotify:track:7pAq1IXYZpL42HchCminu6,7pAq1IXYZpL42HchCminu6,2
When I Grow Up,The Pussycat Dolls,0.686,0.681,11.0,-5.761,0.0,0.0471,0.00185,0.0,0.395,0.366,118.472,245680.0,4.0,spotify:track:7hFXQCDPgHhZQrC3vSM1o4,7hFXQCDPgHhZQrC3vSM1o4,1
I Gotta Feeling,Black Eyed Peas,0.743,0.766,0.0,-6.375,1.0,0.0265,0.0873,0.0,0.509,0.61,127.96,289133.0,4.0,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,4vp2J1l5RD4gMZwGFLfRAu,9
Halo,Beyoncé,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640.0,4.0,spotify:track:4JehYebiI9JE8sR8MisGVb,4JehYebiI9JE8sR8MisGVb,1
Cry Me a River,Justin Timberlake,0.624,0.654,8.0,-6.582,0.0,0.183,0.577,0.0,0.104,0.564,73.898,288333.0,4.0,spotify:track:7Lf7oSEVdzZqTA0kEDSlS5,7Lf7oSEVdzZqTA0kEDSlS5,10
"You're Gonna Go Far, Kid",The Offspring,0.55,0.918,9.0,-3.159,0.0,0.0682,0.00466,0.0,0.206,0.563,126.083,177827.0,4.0,spotify:track:1FMm3wG5WOhi7js35KR7Ea,1FMm3wG5WOhi7js35KR7Ea,1
So What,P!nk,0.535,0.887,11.0,-3.106,1.0,0.0449,0.000304,2.23e-06,0.257,0.445,126.01,215160.0,4.0,spotify:track:6qYGUxPjQt5PJtWdiNppZx,6qYGUxPjQt5PJtWdiNppZx,3
"Whenever, Wherever",Shakira,0.793,0.831,1.0,-4.861,0.0,0.0405,0.264,7.03e-06,0.207,0.865,107.645,197027.0,4.0,spotify:track:0RJWhctsc1G1Hg3Ov2th7x,0RJWhctsc1G1Hg3Ov2th7x,2
Bleeding Love,Leona Lewis,0.638,0.656,5.0,-5.886,1.0,0.0357,0.188,0.0,0.146,0.225,104.036,262467.0,4.0,spotify:track:7wZUrN8oemZfsEd1CGkbXE,7wZUrN8oemZfsEd1CGkbXE,3
Milkshake,Kelis,0.881,0.774,1.0,-6.068,1.0,0.0439,0.00986,0.0346,0.206,0.759,112.968,182627.0,4.0,spotify:track:2cMTIlktg3M9mXYqCPqw1J,2cMTIlktg3M9mXYqCPqw1J,9
Stronger (What Doesn't Kill You),Kelly Clarkson,0.555,0.923,0.0,-5.908,1.0,0.0482,0.0411,0.0,0.112,0.682,116.012,221920.0,4.0,spotify:track:35a4Kzyo9XY4FI9FaSIzzF,35a4Kzyo9XY4FI9FaSIzzF,9
Say OK,Vanessa Hudgens,0.471,0.696,7.0,-7.176,1.0,0.0468,0.00673,0.000955,0.0884,0.543,125.026,223867.0,3.0,spotify:track:5cfPxiul0cdhPYD2uzuQSg,5cfPxiul0cdhPYD2uzuQSg,3
Lovesick,Emily Osment,0.611,0.715,0.0,-5.621,0.0,0.0604,0.00414,0.0,0.353,0.784,129.88,204813.0,3.0,spotify:track:2w55BLEMG97Smym2V6itnx,2w55BLEMG97Smym2V6itnx,2
Wherever I Go,Hannah Montana,0.538,0.621,5.0,-3.358,1.0,0.027,0.0383,0.0,0.0976,0.372,79.024,212853.0,4.0,spotify:track:3lWEKwBNo9IbE9pdKC5NU6,3lWEKwBNo9IbE9pdKC5NU6,3
I'll Always Remember You,Hannah Montana,0.418,0.721,8.0,-2.736,1.0,0.0385,0.0485,0.0,0.0986,0.234,144.06,233467.0,4.0,spotify:track:0tldYKX9sQsDs41lJxdcp8,0tldYKX9sQsDs41lJxdcp8,3
A Year Without Rain,Selena Gomez & The Scene,0.627,0.81,2.0,-5.296,0.0,0.0431,0.0125,3.09e-05,0.111,0.409,119.98,234347.0,4.0,spotify:track:0lYS1tJg3r6ATe9bRPB0Hu,0lYS1tJg3r6ATe9bRPB0Hu,6
Beauty And A Beat,Justin Bieber,0.601,0.845,0.0,-4.711,1.0,0.0653,0.00116,0.0001,0.0653,0.662,127.97,227987.0,4.0,spotify:track:0KTsmr6JOuhxZuiXUha1xC,0KTsmr6JOuhxZuiXUha1xC,9
International Love (feat. Chris Brown),Pitbull,0.67,0.855,0.0,-3.035,0.0,0.0499,0.0124,0.0,0.335,0.648,120.05,227280.0,4.0,spotify:track:62zFEHfAYl5kdHYOivj4BC,62zFEHfAYl5kdHYOivj4BC,2
Clouds (feat. A.J. McLean),Redrama,0.772,0.851,7.0,-4.343,1.0,0.09,0.0149,0.0,0.136,0.27,91.034,232013.0,4.0,spotify:track:1RK5DiXAYnRZk1fEjnytdp,1RK5DiXAYnRZk1fEjnytdp,3
Turn Me On (feat. Nicki Minaj),David Guetta,0.704,0.793,8.0,-2.266,1.0,0.0591,0.0488,0.0,0.575,0.412,127.96,199680.0,4.0,spotify:track:6T27IN7Ai94BeDv6PPCmoC,6T27IN7Ai94BeDv6PPCmoC,3
Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix,Snoop Dogg,0.822,0.749,7.0,-5.563,1.0,0.0285,0.0697,0.000273,0.0732,0.707,130.005,196453.0,4.0,spotify:track:7LpT54RUvN0IvDGIxiwHwS,7LpT54RUvN0IvDGIxiwHwS,11
Märkää,Petri Nygård,0.903,0.864,1.0,-3.763,1.0,0.0358,0.0212,0.0,0.511,0.961,120.06,251160.0,4.0,spotify:track:6wPsHct4yJfplE3nA9qvac,6wPsHct4yJfplE3nA9qvac,9
Selvä päivä - feat. Lord Est,Petri Nygård,0.801,0.726,6.0,-5.567,0.0,0.0443,0.0412,0.0,0.317,0.489,113.98,211560.0,4.0,spotify:track:107ct6t9kseeQWTyeRgcdO,107ct6t9kseeQWTyeRgcdO,1
Good Ol' Days,The Script,0.549,0.945,7.0,-4.351,1.0,0.0329,0.031,0.0,0.114,0.565,93.998,263920.0,4.0,spotify:track:629MXzH7txguTIePdNXOWY,629MXzH7txguTIePdNXOWY,11
Home,Dzeko & Torres,0.577,0.886,2.0,-3.033,1.0,0.0666,0.00562,0.0,0.111,0.616,127.957,174335.0,4.0,spotify:track:12HmJ4Q5ksOGgaqKgZLvdE,12HmJ4Q5ksOGgaqKgZLvdE,9
Supersankari,Laura Närhi,0.428,0.59,1.0,-6.187,1.0,0.0404,0.102,3.39e-06,0.108,0.305,120.38,232760.0,4.0,spotify:track:3yXMgnyHN4o5bL68RfWRpC,3yXMgnyHN4o5bL68RfWRpC,0
Don't Look Down (feat. Usher),Martin Garrix,0.575,0.831,0.0,-5.972,1.0,0.0356,0.00406,0.000449,0.111,0.377,127.991,223140.0,4.0,spotify:track:5M9jOReAKGZ2AttVefFjTY,5M9jOReAKGZ2AttVefFjTY,0
Overtime - Vicetone Remix,Cash Cash,0.721,0.887,11.0,-3.095,0.0,0.166,0.00973,0.00054,0.61,0.678,125.987,357634.0,4.0,spotify:track:4qwucEZidHAAkcN0BemkoU,4qwucEZidHAAkcN0BemkoU,1
Unbreakable,Benjamin,0.498,0.566,1.0,-7.381,1.0,0.0304,0.00587,0.0,0.156,0.267,141.872,201122.0,4.0,spotify:track:5dajiBFiQxyOkmFglyTkvg,5dajiBFiQxyOkmFglyTkvg,0
Moon Boots,The Script,0.482,0.872,2.0,-4.813,1.0,0.0469,0.000518,0.0,0.0935,0.532,152.888,250333.0,4.0,spotify:track:1MkiqU0AvKhjOZdL6I7NQS,1MkiqU0AvKhjOZdL6I7NQS,0
